Adelanto, 34.55147, -117.43525
Agoura Hills, 34.14602, -118.76038
Alameda, 37.76201, -122.25477
Albany, 31.56236, -84.15884
Alhambra, 34.08343, -118.13636
Aliso Viejo, 33.58359, -117.73152
Alturas, 41.47927, -120.56093
Amador City, 38.41959, -120.82696
American Canyon, 38.17527, -122.24751
Anaheim, 33.83431, -117.89791
Anderson, 34.51400, -82.67223
Angels Camp, 38.06687, -120.58462
Antioch, 37.97332, -121.75955
Arcadia, 27.18666, -81.87746
Arcata, 40.87611, -124.08187
Arroyo Grande, 35.11670, -120.58122
Artesia, 33.86760, -118.07951
Arvin, 35.17400, -118.84814
Atascadero, 35.48238, -120.67095
Atwater, 37.36704, -120.63373
Auburn, 47.30036, -122.21256
Avalon, 39.09706, -74.73099
Avenal, 36.00313, -120.12921
Azusa, 34.12708, -117.90491
Bakersfield, 35.35549, -119.03552
Baldwin Park, 34.08541, -117.96961
Banning, 33.92509, -116.90155
Barstow, 34.88686, -117.03126
Beaumont, 33.94535, -116.98109
Bell, 29.76949, -82.87460
Bell Gardens, 33.96960, -118.17197
Bellflower, 33.88911, -118.12753
Belmont, 42.39117, -71.17407
Belvedere, 51.48936, 0.15604
Benicia, 38.06865, -122.16052
Berkeley, 37.87320, -122.27296
Beverly Hills, 28.92696, -82.47513
Big Bear Lake, 34.24134, -116.89548
Biggs, 39.41280, -121.69742
Bishop, 37.3614, 118.3997
Blue Lake, 40.89388, -123.96113
Blythe, 33.61701, -114.60768
Bradbury, -34.08625, 150.81421
Brawley, 32.97940, -115.53376
Brea, 33.92325, -117.88933
Brentwood, 40.38389, -80.04082
Brisbane, -27.46950, 153.02560
Buellton, 34.61660, -120.20047
Buena Park, 33.85407, -118.00548
Burbank, 40.96760, -82.03207
Burlingame, 37.57401, -122.36293
Calabasas, 34.14137, -118.66017
Calexico, 32.68076, -115.49231
California City, 35.12342, -117.96596
Calimesa, 33.98928, -117.04270
Calipatria, 33.13863, -115.51504
Calistoga, 38.58591, -122.58789
